车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953,CHR,23,2140
本田 Odyssey,ICE,MPV,5239,Odyssey,23,656
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953,Pacifica,23,2140
日产 Rogue,ICE,SUV-C,27096,Rogue,22,746
雪佛兰 Malibu,ICE,Car-D,14020,Malibu,21,671
福特 Escape,ICE,SUV-C,12465,Escape,19,625
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776,XC90,19,958
本田 HR-V,ICE,SUV-C,9136,HR-V,18,621
雷克萨斯 Lexus ES,ICE,Car-E,3611,Lexus ES,18,817
大众 ID.4,EV,SUV-C,2836,ID.4,18,754
现代 IONIQ 5,EV,SUV-D,3136,Ioniq,17,618
起亚 K5,ICE,Car-D,6072,K5,17,516
马自达 CX-50,ICE,SUV-D,3532,CX-50,16,596
#N/A,#N/A,#N/A,#N/A,Accent,16,2135
斯巴鲁 Forester,ICE,SUV-C,10669,Forester,15,539
#N/A,#N/A,#N/A,#N/A,C-HR,15,603
Lincoln Lincoln Nautilus,ICE,SUV-D,2286,Lincoln,14,655
斯巴鲁 Outback,ICE,SUV-D,16225,Outback,13,1278
丰田 Venza,HV,SUV-D,2384,Venza,13,438
大众 VW Atlas,ICE,SUV-D,7863,Atlas,12,497
别克 Encore GX,ICE,SUV-C,6316,Encore GX,12,472
现代 IONIQ 5,EV,SUV-D,3136,IONIQ 5,11,439
日产 Altima,ICE,Car-D,8093,Altima,10,343
#N/A,#N/A,#N/A,#N/A,Golf,10,864
日产 Sentra,ICE,Car-C,12720,Sentra,10,322
大众 Taos,ICE,SUV-C,4403,Taos,10,429
雷克萨斯 Lexus RX,ICE,SUV-E,10274,Lexus RX,9,383
斯巴鲁 XV,ICE,SUV-C,13788,XV,9,771
路虎  Range Rover (Land Rover ),ICE,SUV-E,1432,Range Rover,9,559
#N/A,#N/A,#N/A,#N/A,Hummer,9,315
Porsche  Macan,ICE,SUV-D,2784,Macan,8,471
马自达 Axela (Mazda 3),ICE,Car-C,2745,Mazda 3,7,244
讴歌 Acura RDX,ICE,SUV-D,3502,Acura RDX,7,264
沃尔沃汽车  XC40 (Volvo Cars ),ICE,SUV-C,1643,XC40,7,401
福特 Expedition,ICE,SUV-E,6970,Expedition,6,670
Cadillac Escalade,ICE,SUV-E,4497,Escalade,6,198
雪佛兰 Camaro,ICE,Car-D,3207,Camaro,6,209
#N/A,#N/A,#N/A,#N/A,Cooper,6,271
#N/A,#N/A,#N/A,#N/A,EcoSport,6,221
福特 Edge,ICE,SUV-D,7483,Edge,5,480
Rivian R1T,EV,Pickup Truck,3436,R1T,5,349
#N/A,#N/A,#N/A,#N/A,R1S,5,349
#N/A,#N/A,#N/A,#N/A,Range Rover Sport,5,372
福特 Transit,ICE,van,10977,Transit,5,902
斯巴鲁 Impreza,ICE,Car-C,2954,Impreza,4,535
#N/A,#N/A,#N/A,#N/A,Countryman,4,180
宝马 X5,ICE,SUV-E,6208,X5,3,129
宝马 3 Series,ICE,Car-D,2437,3 Series,3,71
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702,C-Class,3,179
福特 Mustang Mach-E,EV,SUV-D,4110,Mustang Mach-E,3,56
别克 Enclave,ICE,SUV-D,3547,Enclave,3,107
宝马 BMW X7,ICE,SUV-E,2561,BMW X7,3,239
现代 Kona,ICE,SUV-C,4791,Kona,2,64
日产 Murano,ICE,SUV-D,2910,Murano,2,69
吉普  Wagoneer (Jeep ),ICE,SUV-E,3015,Wagoneer,2,223
#N/A,#N/A,#N/A,#N/A,Grand Wagoneer,2,223
本田 Honda Pilot,ICE,SUV-D,10691,Pilot,1,34
雷克萨斯 Lexus NX,ICE,SUV-D,5974,Lexus NX,1,37
斯巴鲁 Legacy,ICE,Car-D,2347,Legacy,1,139
宝马 X1,ICE,SUV-C,1370,X1,1,37
讴歌 Acura MDX,ICE,SUV-E,5048,Acura MDX,1,37
#N/A,#N/A,#N/A,#N/A,Beetle,1,26
现代 Santa Fe,ICE,SUV-D,11276,Santa Fe,1,38
Polestar Polestar 2,EV,Car-D,1117,Polestar 2,1,29
奥迪 Audi Q5,ICE,SUV-D,5695,Audi Q5,1,42
#N/A,#N/A,#N/A,#N/A,S60,1,30
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543,E-Class,1,31
Lincoln Lincoln Navigator,ICE,SUV-E,1674,Lincoln Navigator,1,37
#N/A,#N/A,#N/A,#N/A,CRV,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635,Chrysler 300,0,0
#N/A,#N/A,#N/A,#N/A,Crosstrek,0,0
宝马 BMW 5 Series,ICE,Car-E,1439,BMW 5 Series,0,0
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719,X6,0,0
#N/A,#N/A,#N/A,#N/A,C Class,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702,GLC,0,0
#N/A,#N/A,#N/A,#N/A,Leaf,0,0
#N/A,#N/A,#N/A,#N/A,E150,0,0
现代 Santa Cruz,ICE,Pickup Truck,3627,Santa Cruz,0,0
日产 Pathfinder,ICE,SUV-D,5082,Pathfinder,0,0
#N/A,#N/A,#N/A,#N/A,RX350,0,0
起亚 Sorento (KX7),ICE,SUV-D,7607,Sorento,0,0
#N/A,#N/A,#N/A,#N/A,Infiniti Q50,0,0
#N/A,#N/A,#N/A,#N/A,Flex,0,0
奥迪 Audi A4,ICE,Car-D,884,Audi A4,0,0
#N/A,#N/A,#N/A,#N/A,Optima,0,0
#N/A,#N/A,#N/A,#N/A,Journey,0,0
#N/A,#N/A,#N/A,#N/A,G35,0,0
#N/A,#N/A,#N/A,#N/A,G25,0,0
#N/A,#N/A,#N/A,#N/A,325i,0,0
雪佛兰 Traverse,ICE,SUV-D,10536,Traverse,0,0
起亚 Sedona (Carnival),ICE,MPV,4431,Carnival,0,0
日产 Nissan Titan,ICE,Pickup Truck,2455,Titan,0,0
日产 Maxima,ICE,Car-E,1547,Maxima,0,0
斯巴鲁 Ascent,ICE,SUV-D,5889,Ascent,0,0
#N/A,#N/A,#N/A,#N/A,IS350,0,0
#N/A,#N/A,#N/A,#N/A,IS250,0,0
#N/A,#N/A,#N/A,#N/A,BRZ,0,0
#N/A,#N/A,#N/A,#N/A,Xterra,0,0
#N/A,#N/A,#N/A,#N/A,HRV,0,0
讴歌 Acura TLX,ICE,Car-D,2013,Acura TL,0,0
GMC Terrain,ICE,SUV-C,6334,Terrain,0,0
宝马 4 Series,ICE,Car-D,2136,4 Series,0,0
梅赛德斯-奔驰  GLB,ICE,SUV-D,1191,GLB,0,0
#N/A,#N/A,#N/A,#N/A,IS300,0,0
起亚 Kia Forte,ICE,Car-C,10330,Kia Forte,0,0
#N/A,#N/A,#N/A,#N/A,Insight,0,0
日产 Armada,ICE,SUV-D,1798,Armada,0,0
丰田 Crown,HV,Car-E,1177,Crown,0,0
GMC Acadia,ICE,SUV-D,6872,Acadia,0,0
#N/A,#N/A,#N/A,#N/A,Stelvio,0,0
#N/A,#N/A,#N/A,#N/A,F-Type,0,0
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719,QX60,0,0
#N/A,#N/A,#N/A,#N/A,Fusion,0,0
起亚 NIRO,HV,SUV-C,2892,NIRO,0,0
Cadillac Cadillac XT5,ICE,SUV-D,1985,Cadillac XT5,0,0
Lincoln Aviator,ICE,SUV-E,237,Aviator,0,0
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842,S-Class,0,0
#N/A,#N/A,#N/A,#N/A,AMG-GT,0,0
#N/A,#N/A,#N/A,#N/A,CLS-Class,0,0
#N/A,#N/A,#N/A,#N/A,Juke,0,0
日产 Kicks,ICE,SUV-C,5955,Kicks,0,0
#N/A,#N/A,#N/A,#N/A,Panamera,0,0
#N/A,#N/A,#N/A,#N/A,Z4,0,0
#N/A,#N/A,#N/A,#N/A,Focus,0,0
#N/A,#N/A,#N/A,#N/A,Lexus RC,0,0
#N/A,#N/A,#N/A,#N/A,XF,0,0
#N/A,#N/A,#N/A,#N/A,LR4,0,0
#N/A,#N/A,#N/A,#N/A,Cruze,0,0
#N/A,#N/A,#N/A,#N/A,BMW 7 Series,0,0
英菲尼迪 Infiniti QX80 (QX56),ICE,SUV-E,1019,Infiniti QX80,0,0
#N/A,#N/A,#N/A,#N/A,Cadillac Lyriq,0,0
#N/A,#N/A,#N/A,#N/A,Mirage,0,0
#N/A,#N/A,#N/A,#N/A,Veloster,0,0
#N/A,#N/A,#N/A,#N/A,Supra,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702,GLC-Class,0,0
雷克萨斯 Lexus GX,ICE,SUV-E,2545,Lexus GX,0,0
#N/A,#N/A,#N/A,#N/A,TSX,0,0
现代 Tucson (ix35),ICE,SUV-C,17228,iX,0,0
#N/A,#N/A,#N/A,#N/A,Chrysler 200,0,0
起亚 Soul,ICE,Car-C,5202,Soul,0,0
GMC Savana,ICE,van,2560,Savana,0,0
Genesis Genesis GV70,ICE,SUV-D,1745,Genesis GV70,0,0
起亚 Sedona (Carnival),ICE,MPV,4431,Sedona ,0,0
#N/A,#N/A,#N/A,#N/A,Ariya,0,0
奥迪 Audi A3,ICE,Car-C,1073,Audi A3,0,0
#N/A,#N/A,#N/A,#N/A,Honda Fit,0,0
梅赛德斯-奔驰  G-Class,ICE,SUV-E,1019,G-Class,0,0
讴歌 Acura TLX,ICE,Car-D,2013,Acura TLX,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318,Bolt EUV,0,0
#N/A,#N/A,#N/A,#N/A,Chevy Bolt,0,0
#N/A,#N/A,#N/A,#N/A,Mazda 6,0,0
#N/A,#N/A,#N/A,#N/A,Yaris,0,0
#N/A,#N/A,#N/A,#N/A,Nitro,0,0
日产 Nissan Versa,ICE,Car-C,1402,Nissan Versa,0,0
起亚 Rio,ICE,Car-B,2180,Rio,0,0
马自达 Axela (Mazda 3),ICE,Car-C,2745,Axela,0,0
#N/A,#N/A,#N/A,#N/A,X2,0,0
#N/A,#N/A,#N/A,#N/A,S90,0,0
#N/A,#N/A,#N/A,#N/A,EQB,0,0
#N/A,#N/A,#N/A,#N/A,Element,0,0
#N/A,#N/A,#N/A,#N/A,Impala,0,0
#N/A,#N/A,#N/A,#N/A,Impala,0,0
#N/A,#N/A,#N/A,#N/A,Fiat 500,0,0
#N/A,#N/A,#N/A,#N/A,SRX,0,0
Cadillac Cadillac XT4,ICE,SUV-C,1857,Cadillac XT4,0,0
Lincoln Lincoln Nautilus,ICE,SUV-D,2286,Nautilus,0,0
#N/A,#N/A,#N/A,#N/A,Scion,0,0
马自达 CX-9,ICE,SUV-D,863,CX-9,0,0
#N/A,#N/A,#N/A,#N/A,Ford GT,0,0
#N/A,#N/A,#N/A,#N/A,Ford F-Series,0,0
现代 Avante (Elantra),ICE,Car-C,13424,Avante ,0,0
Ram  ProMaster,ICE,van,8131,ProMaster,0,0
#N/A,#N/A,#N/A,#N/A,Sprinter,0,0
起亚 SELTOS,ICE,SUV-C,5652,SELTOS,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543,GLE-Class,0,0
雪佛兰 Chevrolet Express,ICE,van,3290,Chevrolet Express,0,0
福特 Ford E-Series,ICE,van,2820,E-Series,0,0
#N/A,#N/A,#N/A,#N/A,E-150,0,0
现代 Venue,ICE,SUV-C,2695,Venue,0,0
讴歌 Integra ,ICE,Car-C,2608,Integra,0,0
Lincoln Lincoln MKC/Corsair,ICE,SUV-C,2587,MKC,0,0
奥迪 Audi A5,ICE,Car-D,2283,Audi A5,0,0
宝马 BMW i4,EV,Car-E,2131,BMW i4,0,0
现代 Avante (Elantra),ICE,Car-C,13424,Avante,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318,Chevrolet Bolt,0,0
奥迪 Audi Q3,ICE,SUV-C,1928,Audi Q3,0,0
Cadillac Cadillac XT6,ICE,SUV-E,1867,Cadillac XT6,0,0
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842,GLS-Class,0,0
雷克萨斯 Lexus IS,ICE,Car-D,1827,Lexus IS,0,0
Cadillac Cadillac CT5,ICE,Car-E,1784,Cadillac CT5,0,0
三菱 RVR (ASX/Outlander Sport),ICE,SUV-C,1756,RVR,0,0
梅赛德斯-奔驰  GLA-Class,ICE,SUV-C,1673,GLA-Class,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635,Chrysler 300 series,0,0
#N/A,#N/A,#N/A,#N/A,C40 Recharge,0,0
Porsche  Cayenne,ICE,SUV-E,1591,Cayenne,0,0
#N/A,#N/A,#N/A,#N/A,CX-90,0,0
福特 Transit Connect,ICE,van,1508,Transit Connect,0,0
Genesis Genesis GV80,ICE,SUV-E,1506,Genesis GV80,0,0
丰田 Corolla iM,ICE,Car-C,1493,Corolla iM,0,0
Genesis Genesis G70,ICE,Car-D,1353,Genesis G70,0,0
奥迪 Audi Q8,ICE,SUV-E,1282,Audi Q8,0,0
Ram  ProMaster City,ICE,van,1222,ProMaster City,0,0
Porsche  Porsche 911,ICE,Car-F,1191,Porsche 911,0,0
#N/A,#N/A,#N/A,#N/A,IONIQ 6,0,0
#N/A,#N/A,#N/A,#N/A,Dodge Hornet,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015,EQS SUV,0,0
雷克萨斯 Lexus UX,HV,SUV-C,1012,Lexus UX,0,0
#N/A,#N/A,#N/A,#N/A,2 Series,0,0
#N/A,#N/A,#N/A,#N/A,Eclipse Cross,0,0
#N/A,#N/A,#N/A,#N/A,EQE SUV,0,0
#N/A,#N/A,#N/A,#N/A,Cadillac CT4,0,0
马自达 MX-5 (Miata),ICE,Car-C,866,MX-5,0,0
#N/A,#N/A,#N/A,#N/A,CLA-Class,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015,EQS,0,0
#N/A,#N/A,#N/A,#N/A,Genesis G80,0,0
#N/A,#N/A,#N/A,#N/A,Audi Q8 e-tron,0,0
#N/A,#N/A,#N/A,#N/A,Infiniti QX50,0,0
#N/A,#N/A,#N/A,#N/A,Audi Q4 e-tron,0,0
#N/A,#N/A,#N/A,#N/A,Stinger,0,0
#N/A,#N/A,#N/A,#N/A,Rivian EDV,0,0
#N/A,#N/A,#N/A,#N/A,bZ4X,0,0
#N/A,#N/A,#N/A,#N/A,Taycan,0,0
#N/A,#N/A,#N/A,#N/A,Audi A6,0,0
#N/A,#N/A,#N/A,#N/A,Lucid Air,0,0
#N/A,#N/A,#N/A,#N/A,Solterra,0,0
#N/A,#N/A,#N/A,#N/A,EQE,0,0
#N/A,#N/A,#N/A,#N/A,Range Rover Velar,0,0
#N/A,#N/A,#N/A,#N/A,Lexus LX,0,0
#N/A,#N/A,#N/A,#N/A,MIRAI,0,0
#N/A,#N/A,#N/A,#N/A,BMW 8 Series,0,0
#N/A,#N/A,#N/A,#N/A,Infiniti QX55,0,0
#N/A,#N/A,#N/A,#N/A,Boxster/Cayman,0,0
#N/A,#N/A,#N/A,#N/A,F-Pace,0,0
#N/A,#N/A,#N/A,#N/A,MINI Convertible,0,0
#N/A,#N/A,#N/A,#N/A,Grecale,0,0
#N/A,#N/A,#N/A,#N/A,VF8,0,0
#N/A,#N/A,#N/A,#N/A,Audi e-tron GT,0,0
#N/A,#N/A,#N/A,#N/A,SL-Class,0,0
#N/A,#N/A,#N/A,#N/A,Discovery Sport,0,0
#N/A,#N/A,#N/A,#N/A,Range Rover Evoque,0,0
#N/A,#N/A,#N/A,#N/A,Alfa Romeo GIULIA,0,0
#N/A,#N/A,#N/A,#N/A,Lexus RZ,0,0
#N/A,#N/A,#N/A,#N/A,Genesis GV60,0,0
#N/A,#N/A,#N/A,#N/A,MINI Clubman,0,0
#N/A,#N/A,#N/A,#N/A,Arteon,0,0
#N/A,#N/A,#N/A,#N/A,Audi A8,0,0
#N/A,#N/A,#N/A,#N/A,BMW XM,0,0
#N/A,#N/A,#N/A,#N/A,V60,0,0
#N/A,#N/A,#N/A,#N/A,BMW i7,0,0
#N/A,#N/A,#N/A,#N/A,Lexus LS,0,0
#N/A,#N/A,#N/A,#N/A,Nissan Z,0,0
#N/A,#N/A,#N/A,#N/A,Lexus LC,0,0
#N/A,#N/A,#N/A,#N/A,Audi A7,0,0
#N/A,#N/A,#N/A,#N/A,Audi e-tron,0,0
#N/A,#N/A,#N/A,#N/A,Genesis EQ900,0,0
丰田 Grand Highlander,HV,SUV-D,159,Grand Highlander,0,0
#N/A,#N/A,#N/A,#N/A,Infiniti Q60,0,0
#N/A,#N/A,#N/A,#N/A,Tonale,0,0
#N/A,#N/A,#N/A,#N/A,Audi TT,0,0
#N/A,#N/A,#N/A,#N/A,Class 3,0,0
#N/A,#N/A,#N/A,#N/A,V90,0,0
#N/A,#N/A,#N/A,#N/A,500X,0,0
#N/A,#N/A,#N/A,#N/A,E-Pace,0,0
#N/A,#N/A,#N/A,#N/A,Audi R8,0,0
#N/A,#N/A,#N/A,#N/A,GT-R,0,0
#N/A,#N/A,#N/A,#N/A,Hummer Pickup,0,0
#N/A,#N/A,#N/A,#N/A,SF90 Stradale,0,0
#N/A,#N/A,#N/A,#N/A,SF90 Spider,0,0
#N/A,#N/A,#N/A,#N/A,I-Pace,0,0
#N/A,#N/A,#N/A,#N/A,MX-30,0,0
#N/A,#N/A,#N/A,#N/A,Nexo,0,0
#N/A,#N/A,#N/A,#N/A,Ferrari 296,0,0
梅赛德斯-奔驰  GLA-Class,ICE,SUV-C,1673,A-Class,0,0
#N/A,#N/A,#N/A,#N/A,Spark,0,0
#N/A,#N/A,#N/A,#N/A,Zevo 600,0,0
#N/A,#N/A,#N/A,#N/A,Polestar 1,0,0
#N/A,#N/A,#N/A,#N/A,Lexus GS,0,0
#N/A,#N/A,#N/A,#N/A,Ram Cargo,0,0
#N/A,#N/A,#N/A,#N/A,Chrysler 200 Series,0,0
#N/A,#N/A,#N/A,#N/A,Alfa Romeo 4C,0,0
#N/A,#N/A,#N/A,#N/A,GS-6,0,0
#N/A,#N/A,#N/A,#N/A,Fiat 500L,0,0
#N/A,#N/A,#N/A,#N/A,Clarity Electric,0,0
#N/A,#N/A,#N/A,#N/A,Clarity Fuel Cell,0,0
#N/A,#N/A,#N/A,#N/A,Clarity Plug In,0,0
#N/A,#N/A,#N/A,#N/A,Acura ILX,0,0
#N/A,#N/A,#N/A,#N/A,Acura RLX,0,0
#N/A,#N/A,#N/A,#N/A,NSX,0,0
#N/A,#N/A,#N/A,#N/A,Revero,0,0
#N/A,#N/A,#N/A,#N/A,Lancer,0,0
#N/A,#N/A,#N/A,#N/A,C10,0,0
#N/A,#N/A,#N/A,#N/A,Patriot,0,0
#N/A,#N/A,#N/A,#N/A,2002-2009 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A,2009-2018 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A,1994-2001 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A,Taurus,0,0
#N/A,#N/A,#N/A,#N/A,Liberty,0,0
#N/A,#N/A,#N/A,#N/A,Cobalt,0,0
#N/A,#N/A,#N/A,#N/A,Caprice,0,0
#N/A,#N/A,#N/A,#N/A,C30,0,0
#N/A,#N/A,#N/A,#N/A,Sebring,0,0
#N/A,#N/A,#N/A,#N/A,Cascadia,0,0
#N/A,#N/A,#N/A,#N/A,Taurus,0,0
#N/A,#N/A,#N/A,#N/A,3-Series,0,0
#N/A,#N/A,#N/A,#N/A,Taurus,0,0
#N/A,#N/A,#N/A,#N/A,Econoline,0,0
#N/A,#N/A,#N/A,#N/A,Cobalt,0,0
#N/A,#N/A,#N/A,#N/A,Fiesta,0,0
#N/A,#N/A,#N/A,#N/A,Avenger,0,0
#N/A,#N/A,#N/A,#N/A,VHD,0,0
#N/A,#N/A,#N/A,#N/A,VNL,0,0
#N/A,#N/A,#N/A,#N/A,Matrix,0,0
#N/A,#N/A,#N/A,#N/A,5-Series,0,0
#N/A,#N/A,#N/A,#N/A,RZR,0,0
#N/A,#N/A,#N/A,#N/A,Jimny,0,0
#N/A,#N/A,#N/A,#N/A,CX5,0,0
