车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
Genesis Genesis GV70,ICE,SUV-D,1745, Genesis GV70,49,830
本田 Odyssey,ICE,MPV,5239, Odyssey,48,805
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,48,730
雷克萨斯 Lexus NX,ICE,SUV-D,5974, Lexus NX,48,1173
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,47,937
雪佛兰 Corvette,ICE,Car-F,3136, Corvette,46,1405
现代 Santa Cruz,ICE,Pickup Truck,3627, Santa Cruz,46,1223
日产 Nissan Titan,ICE,Pickup Truck,2455, Titan,44,10118
Cadillac Cadillac XT6,ICE,SUV-E,1867, Cadillac XT6,43,972
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776, XC90,40,844
雪佛兰 Camaro,ICE,Car-D,3207, Camaro,38,686
福特 Escape,ICE,SUV-C,12465, Escape,37,661
日产 Murano,ICE,SUV-D,2910, Murano,36,718
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,35,1327
道奇  Challenger (Dodge ),ICE,Car-D,4199, Challenger,33,526
本田 HR-V,ICE,SUV-C,9136, HR-V,32,2463
福特 Transit Connect,ICE,van,1508, Transit Connect,32,10505
日产 Rogue,ICE,SUV-C,27096, Rogue,31,886
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664, Colorado,29,532
马自达 CX-30,ICE,SUV-C,6612, CX-30,29,3098
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,29,487
马自达 CX-9,ICE,SUV-D,863, CX-9,29,561
沃尔沃汽车  XC60 (Volvo Cars ),ICE,SUV-D,3300, XC60,27,663
日产 Armada,ICE,SUV-D,1798, Armada,27,646
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719, QX60,26,362
#N/A,#N/A,#N/A,#N/A, Patriot,24,406
#N/A,#N/A,#N/A,#N/A, X2,23,3252
丰田 Corolla,ICE,Car-C,18163, Corolla,21,523
奥迪 Audi A5,ICE,Car-D,2283, Audi A5,20,399
雷克萨斯 Lexus UX,HV,SUV-C,1012, Lexus UX,20,399
讴歌 Acura RDX,ICE,SUV-D,3502, Acura RDX,19,436
#N/A,#N/A,#N/A,#N/A, Focus,19,339
#N/A,#N/A,#N/A,#N/A, Avalon,17,452
#N/A,#N/A,#N/A,#N/A, HRV,17,2209
沃尔沃汽车  XC40 (Volvo Cars ),ICE,SUV-C,1643, XC40,17,385
#N/A,#N/A,#N/A,#N/A, Stinger,17,338
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE,16,343
大众 ID.4,EV,SUV-C,2836, ID.4,14,1239
#N/A,#N/A,#N/A,#N/A, Infiniti QX50,14,279
斯巴鲁 WRX,ICE,Car-C,2326, WRX,13,259
#N/A,#N/A,#N/A,#N/A, Carnival,12,200
福特 Mustang Mach-E,EV,SUV-D,4110, Mustang Mach-E,12,179
丰田 Sienna,HV,MPV,6418, Sienna,11,2199
起亚 NIRO,HV,SUV-C,2892, NIRO,11,218
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS,11,218
现代 IONIQ 5,EV,SUV-D,3136, Ioniq,10,157
雷克萨斯 Lexus ES,ICE,Car-E,3611, Lexus ES,8,159
Cadillac Cadillac XT4,ICE,SUV-C,1857, Cadillac XT4,8,878
Porsche  Cayenne,ICE,SUV-E,1591, Cayenne,8,127
#N/A,#N/A,#N/A,#N/A, Acura ILX,8,50
#N/A,#N/A,#N/A,#N/A, Stelvio,7,125
讴歌 Integra ,ICE,Car-C,2608, Integra,7,138
GMC Canyon,ICE,Pickup Truck,3496, Canyon,6,119
#N/A,#N/A,#N/A,#N/A, Infiniti Q50,6,149
#N/A,#N/A,#N/A,#N/A, F-Type,6,119
宝马 iX,EV,SUV-D,1415, iX,6,119
#N/A,#N/A,#N/A,#N/A, Element,6,101
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Nautilus,6,102
Genesis Genesis GV80,ICE,SUV-E,1506, Genesis GV80,6,119
马自达 MX-5 (Miata),ICE,Car-C,866, MX-5,6,111
现代 Sonata,ICE,Car-D,3834, Sonata,5,98
讴歌 Acura MDX,ICE,SUV-E,5048, Acura MDX,5,114
大众 Jetta,ICE,Car-C,4587, Jetta,5,119
#N/A,#N/A,#N/A,#N/A, Caravan,5,79
#N/A,#N/A,#N/A,#N/A, F-Pace,5,100
雪佛兰 Malibu,ICE,Car-D,14020, Malibu,4,79
#N/A,#N/A,#N/A,#N/A, Audi Q7,4,119
奥迪 Audi Q8,ICE,SUV-E,1282, Audi Q8,4,79
#N/A,#N/A,#N/A,#N/A, EQE SUV,4,79
#N/A,#N/A,#N/A,#N/A, EQE,4,79
#N/A,#N/A,#N/A,#N/A, V60,4,120
#N/A,#N/A,#N/A,#N/A, Audi A7,4,79
#N/A,#N/A,#N/A,#N/A, Flex,3,987
丰田 Corolla Cross,ICE,SUV-C,5373, Corolla Cross,3,74
日产 Sentra,ICE,Car-C,12720, Sentra,3,59
雪佛兰 Trax (Tracker),ICE,SUV-B,9719, Trax,3,59
马自达 CX-50,ICE,SUV-D,3532, CX-50,3,149
Cadillac Cadillac XT5,ICE,SUV-D,1985, Cadillac XT5,3,66
#N/A,#N/A,#N/A,#N/A, Lexus LS,3,50
#N/A,#N/A,#N/A,#N/A, F-250,2,377
起亚 K5,ICE,Car-D,6072, K5,2,40
#N/A,#N/A,#N/A,#N/A, Hummer,2,23
Lincoln Aviator,ICE,SUV-E,237, Aviator,2,39
雷克萨斯 Lexus GX,ICE,SUV-E,2545, Lexus GX,2,40
#N/A,#N/A,#N/A,#N/A, S60,2,87
别克 Encore GX,ICE,SUV-C,6316, Encore,2,34
#N/A,#N/A,#N/A,#N/A, S90,2,87
#N/A,#N/A,#N/A,#N/A, V90,2,87
路虎  Range Rover (Land Rover ),ICE,SUV-E,1432, Range Rover,1,15
#N/A,#N/A,#N/A,#N/A, Range Rover Sport,1,15
Polestar Polestar 2,EV,Car-D,1117, Polestar 2,1,19
#N/A,#N/A,#N/A,#N/A, Supra,1,55
别克 Encore GX,ICE,SUV-C,6316, Encore GX,1,15
奥迪 Audi Q3,ICE,SUV-C,1928, Audi Q3,1,15
#N/A,#N/A,#N/A,#N/A, Jimny,1,30
克莱斯勒  Chrysler,柴油 ,Class 5,1823, CHR,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,0,0
日产 Altima,ICE,Car-D,8093, Altima,0,0
宝马 BMW 5 Series,ICE,Car-E,1439, BMW 5 Series,0,0
#N/A,#N/A,#N/A,#N/A, X6,0,0
#N/A,#N/A,#N/A,#N/A, X4,0,0
#N/A,#N/A,#N/A,#N/A, C Class,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC,0,0
宝马 3 Series,ICE,Car-D,2437, 3 Series,0,0
#N/A,#N/A,#N/A,#N/A, Leaf,0,0
#N/A,#N/A,#N/A,#N/A, E150,0,0
奥迪 Audi A4,ICE,Car-D,884, Audi A4,0,0
#N/A,#N/A,#N/A,#N/A, Optima,0,0
#N/A,#N/A,#N/A,#N/A, Mazda 3,0,0
#N/A,#N/A,#N/A,#N/A, Journey,0,0
#N/A,#N/A,#N/A,#N/A, G35,0,0
#N/A,#N/A,#N/A,#N/A, G25,0,0
#N/A,#N/A,#N/A,#N/A, 325i,0,0
斯巴鲁 Legacy,ICE,Car-D,2347, Legacy,0,0
#N/A,#N/A,#N/A,#N/A, Beetle,0,0
斯巴鲁 XV,ICE,SUV-C,13788, XV,0,0
日产 Maxima,ICE,Car-E,1547, Maxima,0,0
雪佛兰 Trailblazer,ICE,SUV-C,11579, Trailblazer,0,0
#N/A,#N/A,#N/A,#N/A, IS350,0,0
#N/A,#N/A,#N/A,#N/A, IS250,0,0
#N/A,#N/A,#N/A,#N/A, BRZ,0,0
丰田 Prius,HV,Car-C,1472, Prius,0,0
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,0,0
#N/A,#N/A,#N/A,#N/A, Xterra,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TL,0,0
Rivian R1T,EV,Pickup Truck,3436, R1T,0,0
#N/A,#N/A,#N/A,#N/A, R1S,0,0
宝马 4 Series,ICE,Car-D,2136, 4 Series,0,0
梅赛德斯-奔驰  GLB,ICE,SUV-D,1191, GLB,0,0
#N/A,#N/A,#N/A,#N/A, C-HR,0,0
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953, Pacifica,0,0
#N/A,#N/A,#N/A,#N/A, IS300,0,0
起亚 Kia Forte,ICE,Car-C,10330, Kia Forte,0,0
#N/A,#N/A,#N/A,#N/A, Insight,0,0
大众 Tiguan,ICE,SUV-C,4683, Tiguan,0,0
丰田 Venza,HV,SUV-D,2384, Venza,0,0
#N/A,#N/A,#N/A,#N/A, Cooper,0,0
#N/A,#N/A,#N/A,#N/A, Elantra,0,0
丰田 Crown,HV,Car-E,1177, Crown,0,0
现代 Kona,ICE,SUV-C,4791, Kona,0,0
大众 Taos,ICE,SUV-C,4403, Taos,0,0
#N/A,#N/A,#N/A,#N/A, Fusion,0,0
梅赛德斯-奔驰  S-Class,ICE,Car-F,1044, S-Class,0,0
#N/A,#N/A,#N/A,#N/A, AMG-GT,0,0
#N/A,#N/A,#N/A,#N/A, CLS-Class,0,0
#N/A,#N/A,#N/A,#N/A, Juke,0,0
#N/A,#N/A,#N/A,#N/A, Panamera,0,0
#N/A,#N/A,#N/A,#N/A, Z4,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RC,0,0
#N/A,#N/A,#N/A,#N/A, XF,0,0
#N/A,#N/A,#N/A,#N/A, LR4,0,0
#N/A,#N/A,#N/A,#N/A,86,0,0
#N/A,#N/A,#N/A,#N/A, Cruze,0,0
#N/A,#N/A,#N/A,#N/A, BMW 7 Series,0,0
英菲尼迪 Infiniti QX80 (QX56),ICE,SUV-E,1019, Infiniti QX80,0,0
#N/A,#N/A,#N/A,#N/A, Cadillac Lyriq,0,0
#N/A,#N/A,#N/A,#N/A, Mirage,0,0
#N/A,#N/A,#N/A,#N/A, Veloster,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC-Class,0,0
#N/A,#N/A,#N/A,#N/A, TSX,0,0
#N/A,#N/A,#N/A,#N/A, Chrysler 200,0,0
起亚 Soul,ICE,Car-C,5202, Soul,0,0
GMC Savana,ICE,van,2560, Savana,0,0
起亚 Sedona (Carnival),ICE,MPV,4431, Sedona ,0,0
#N/A,#N/A,#N/A,#N/A, Ariya,0,0
奥迪 Audi A3,ICE,Car-C,1073, Audi A3,0,0
#N/A,#N/A,#N/A,#N/A, Honda Fit,0,0
梅赛德斯-奔驰  G-Class,ICE,SUV-E,1019, G-Class,0,0
梅赛德斯-奔驰  E-Class,ICE,Car-E,1210, E-Class,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TLX,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Bolt EUV,0,0
#N/A,#N/A,#N/A,#N/A, Chevy Bolt,0,0
#N/A,#N/A,#N/A,#N/A, Mazda 6,0,0
#N/A,#N/A,#N/A,#N/A, Yaris,0,0
Porsche  Macan,ICE,SUV-D,2784, Macan,0,0
#N/A,#N/A,#N/A,#N/A, Nitro,0,0
日产 Nissan Versa,ICE,Car-C,1402, Nissan Versa,0,0
起亚 Rio,ICE,Car-B,2180, Rio,0,0
马自达 Axela (Mazda 3),ICE,Car-C,2745, Axela,0,0
#N/A,#N/A,#N/A,#N/A, EQB,0,0
#N/A,#N/A,#N/A,#N/A, Impala,0,0
#N/A,#N/A,#N/A,#N/A, Impala,0,0
#N/A,#N/A,#N/A,#N/A, Fiat 500,0,0
#N/A,#N/A,#N/A,#N/A, SRX,0,0
#N/A,#N/A,#N/A,#N/A, Land Cruiser,0,0
#N/A,#N/A,#N/A,#N/A, Ram 2500,0,0
#N/A,#N/A,#N/A,#N/A, RAM 2500,0,0
#N/A,#N/A,#N/A,#N/A, Scion,0,0
#N/A,#N/A,#N/A,#N/A, RAV-4,0,0
#N/A,#N/A,#N/A,#N/A, Ford GT,0,0
#N/A,#N/A,#N/A,#N/A, Ford F-Series,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante ,0,0
Ram  ProMaster,ICE,van,8131, ProMaster,0,0
#N/A,#N/A,#N/A,#N/A, Sprinter,0,0
起亚 SELTOS,ICE,SUV-C,5652, SELTOS,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE-Class,0,0
别克 Envision,ICE,SUV-C,4192, Envision,0,0
雪佛兰 Chevrolet Express,ICE,van,3290, Chevrolet Express,0,0
现代 IONIQ 5,EV,SUV-D,3136, IONIQ 5,0,0
吉普  Wagoneer (Jeep ),ICE,SUV-E,3015, Wagoneer,0,0
福特 Ford E-Series,ICE,van,2820, E-Series,0,0
#N/A,#N/A,#N/A,#N/A, E-150,0,0
现代 Venue,ICE,SUV-C,2695, Venue,0,0
宝马 BMW X7,ICE,SUV-E,2561, BMW X7,0,0
宝马 BMW i4,EV,Car-E,2131, BMW i4,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Chevrolet Bolt,0,0
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842, GLS-Class,0,0
雷克萨斯 Lexus IS,ICE,Car-D,1827, Lexus IS,0,0
Cadillac Cadillac CT5,ICE,Car-E,1784, Cadillac CT5,0,0
三菱 RVR (ASX/Outlander Sport),ICE,SUV-C,1756, RVR,0,0
梅赛德斯-奔驰  GLA-Class,ICE,SUV-C,1673, GLA-Class,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300 series,0,0
#N/A,#N/A,#N/A,#N/A, C40 Recharge,0,0
#N/A,#N/A,#N/A,#N/A, CX-90,0,0
丰田 Corolla iM,ICE,Car-C,1493, Corolla iM,0,0
Genesis Genesis G70,ICE,Car-D,1353, Genesis G70,0,0
Ram  ProMaster City,ICE,van,1222, ProMaster City,0,0
Porsche  Porsche 911,ICE,Car-F,1191, Porsche 911,0,0
#N/A,#N/A,#N/A,#N/A, Grand Wagoneer,0,0
#N/A,#N/A,#N/A,#N/A, IONIQ 6,0,0
#N/A,#N/A,#N/A,#N/A, Dodge Hornet,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS SUV,0,0
#N/A,#N/A,#N/A,#N/A, 2 Series,0,0
#N/A,#N/A,#N/A,#N/A, Eclipse Cross,0,0
#N/A,#N/A,#N/A,#N/A, Cadillac CT4,0,0
#N/A,#N/A,#N/A,#N/A, Countryman,0,0
#N/A,#N/A,#N/A,#N/A, CLA-Class,0,0
#N/A,#N/A,#N/A,#N/A, Genesis G80,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q8 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q4 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Rivian EDV,0,0
#N/A,#N/A,#N/A,#N/A, bZ4X,0,0
#N/A,#N/A,#N/A,#N/A, Taycan,0,0
#N/A,#N/A,#N/A,#N/A, Audi A6,0,0
#N/A,#N/A,#N/A,#N/A, Lucid Air,0,0
#N/A,#N/A,#N/A,#N/A, Solterra,0,0
#N/A,#N/A,#N/A,#N/A, Range Rover Velar,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LX,0,0
#N/A,#N/A,#N/A,#N/A, MIRAI,0,0
#N/A,#N/A,#N/A,#N/A, BMW 8 Series,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti QX55,0,0
#N/A,#N/A,#N/A,#N/A, Boxster/Cayman,0,0
#N/A,#N/A,#N/A,#N/A, MINI Convertible,0,0
#N/A,#N/A,#N/A,#N/A, Grecale,0,0
#N/A,#N/A,#N/A,#N/A, VF8,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron GT,0,0
#N/A,#N/A,#N/A,#N/A, SL-Class,0,0
#N/A,#N/A,#N/A,#N/A, Discovery Sport,0,0
#N/A,#N/A,#N/A,#N/A, Range Rover Evoque,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo GIULIA,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RZ,0,0
#N/A,#N/A,#N/A,#N/A, EcoSport,0,0
#N/A,#N/A,#N/A,#N/A, Genesis GV60,0,0
#N/A,#N/A,#N/A,#N/A, MINI Clubman,0,0
#N/A,#N/A,#N/A,#N/A, Arteon,0,0
#N/A,#N/A,#N/A,#N/A, Audi A8,0,0
#N/A,#N/A,#N/A,#N/A, BMW XM,0,0
#N/A,#N/A,#N/A,#N/A, BMW i7,0,0
#N/A,#N/A,#N/A,#N/A, Nissan Z,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LC,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Genesis EQ900,0,0
丰田 Grand Highlander,HV,SUV-D,159, Grand Highlander,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti Q60,0,0
#N/A,#N/A,#N/A,#N/A, Tonale,0,0
#N/A,#N/A,#N/A,#N/A, Audi TT,0,0
#N/A,#N/A,#N/A,#N/A, Class 3,0,0
#N/A,#N/A,#N/A,#N/A, 500X,0,0
#N/A,#N/A,#N/A,#N/A, E-Pace,0,0
#N/A,#N/A,#N/A,#N/A, Audi R8,0,0
#N/A,#N/A,#N/A,#N/A, GT-R,0,0
#N/A,#N/A,#N/A,#N/A, Hummer Pickup,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Stradale,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Spider,0,0
#N/A,#N/A,#N/A,#N/A, I-Pace,0,0
#N/A,#N/A,#N/A,#N/A, MX-30,0,0
#N/A,#N/A,#N/A,#N/A, Nexo,0,0
#N/A,#N/A,#N/A,#N/A, Ferrari 296,0,0
#N/A,#N/A,#N/A,#N/A, A-Class,0,0
#N/A,#N/A,#N/A,#N/A, Zevo 600,0,0
#N/A,#N/A,#N/A,#N/A, Polestar 1,0,0
#N/A,#N/A,#N/A,#N/A, Lexus GS,0,0
#N/A,#N/A,#N/A,#N/A, Ram Cargo,0,0
#N/A,#N/A,#N/A,#N/A, Chrysler 200 Series,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo 4C,0,0
#N/A,#N/A,#N/A,#N/A, GS-6,0,0
#N/A,#N/A,#N/A,#N/A, Fiat 500L,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Electric,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Fuel Cell,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Plug In,0,0
#N/A,#N/A,#N/A,#N/A, Acura RLX,0,0
#N/A,#N/A,#N/A,#N/A, NSX,0,0
#N/A,#N/A,#N/A,#N/A, Revero,0,0
#N/A,#N/A,#N/A,#N/A, TRX400,0,0
#N/A,#N/A,#N/A,#N/A, TRX450,0,0
#N/A,#N/A,#N/A,#N/A, Lancer,0,0
#N/A,#N/A,#N/A,#N/A, C10,0,0
#N/A,#N/A,#N/A,#N/A, 2002-2009 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, 2009-2018 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, 1994-2001 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, Liberty,0,0
#N/A,#N/A,#N/A,#N/A, Cobalt,0,0
#N/A,#N/A,#N/A,#N/A, Caprice,0,0
#N/A,#N/A,#N/A,#N/A, C30,0,0
#N/A,#N/A,#N/A,#N/A, Sebring,0,0
#N/A,#N/A,#N/A,#N/A, Cascadia,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, 3-Series,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, Econoline,0,0
#N/A,#N/A,#N/A,#N/A, Cobalt,0,0
#N/A,#N/A,#N/A,#N/A, Fiesta,0,0
#N/A,#N/A,#N/A,#N/A, Avenger,0,0
#N/A,#N/A,#N/A,#N/A, VHD,0,0
#N/A,#N/A,#N/A,#N/A, VNL,0,0
#N/A,#N/A,#N/A,#N/A, Matrix,0,0
#N/A,#N/A,#N/A,#N/A, 5-Series,0,0
#N/A,#N/A,#N/A,#N/A, CX5,0,0
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
