车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
起亚 NIRO,HV,SUV-C,2892, NIRO,11,659
#N/A,#N/A,#N/A,#N/A, LR4,11,590
日产 Nissan Versa,ICE,Car-C,1402, Nissan Versa,11,220
#N/A,#N/A,#N/A,#N/A, Avalon,10,299
日产 Maxima,ICE,Car-E,1547, Maxima,10,99
大众 Tiguan,ICE,SUV-C,4683, Tiguan,10,667
Rivian R1T,EV,Pickup Truck,3436, R1T,9,214
#N/A,#N/A,#N/A,#N/A, R1S,9,214
奥迪 Audi A3,ICE,Car-C,1073, Audi A3,9,112
现代 Sonata,ICE,Car-D,3834, Sonata,8,235
雪佛兰 Trailblazer,ICE,SUV-C,11579, Trailblazer,8,1101
#N/A,#N/A,#N/A,#N/A, Xterra,7,97
#N/A,#N/A,#N/A,#N/A, Fiat 500,7,139
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,6,38
#N/A,#N/A,#N/A,#N/A, Supra,6,509
#N/A,#N/A,#N/A,#N/A, Acura ILX,5,31
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,4,982
斯巴鲁 Ascent,ICE,SUV-D,5889, Ascent,4,318
#N/A,#N/A,#N/A,#N/A, Stelvio,4,75
福特 Mustang Mach-E,EV,SUV-D,4110, Mustang Mach-E,4,27
Porsche  Cayenne,ICE,SUV-E,1591, Cayenne,4,64
雷克萨斯 Lexus NX,ICE,SUV-D,5974, Lexus NX,3,53
#N/A,#N/A,#N/A,#N/A, Journey,3,149
#N/A,#N/A,#N/A,#N/A, Carnival,3,59
#N/A,#N/A,#N/A,#N/A, 2009-2018 Dodge Ram,3,461
梅赛德斯-奔驰  G-Class,ICE,SUV-E,1019, G-Class,2,337
Lincoln Aviator,ICE,SUV-E,237, Aviator,1,119
#N/A,#N/A,#N/A,#N/A, Audi Q7,1,93
#N/A,#N/A,#N/A,#N/A, Scion,1,16
#N/A,#N/A,#N/A,#N/A, Infiniti QX55,1,128
#N/A,#N/A,#N/A,#N/A, Lancer,1,12
#N/A,#N/A,#N/A,#N/A, Jimny,1,6
宝马 BMW 5 Series,ICE,Car-E,1439, BMW 5 Series,0,0
起亚 Telluride,ICE,SUV-D,9534, Telluride,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti Q50,0,0
#N/A,#N/A,#N/A,#N/A, Flex,0,0
奥迪 Audi A4,ICE,Car-D,884, Audi A4,0,0
#N/A,#N/A,#N/A,#N/A, Optima,0,0
#N/A,#N/A,#N/A,#N/A, G25,0,0
讴歌 Acura MDX,ICE,SUV-E,5048, Acura MDX,0,0
#N/A,#N/A,#N/A,#N/A, IS350,0,0
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TL,0,0
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953, Pacifica,0,0
#N/A,#N/A,#N/A,#N/A, Caravan,0,0
起亚 Kia Forte,ICE,Car-C,10330, Kia Forte,0,0
起亚 K5,ICE,Car-D,6072, K5,0,0
日产 Armada,ICE,SUV-D,1798, Armada,0,0
大众 Taos,ICE,SUV-C,4403, Taos,0,0
雪佛兰 Trax (Tracker),ICE,SUV-B,9719, Trax,0,0
#N/A,#N/A,#N/A,#N/A, F-Type,0,0
梅赛德斯-奔驰  S-Class,ICE,Car-F,1044, S-Class,0,0
#N/A,#N/A,#N/A,#N/A, AMG-GT,0,0
#N/A,#N/A,#N/A,#N/A, CLS-Class,0,0
#N/A,#N/A,#N/A,#N/A, Panamera,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RC,0,0
Polestar Polestar 2,EV,Car-D,1117, Polestar 2,0,0
#N/A,#N/A,#N/A,#N/A, XF,0,0
#N/A,#N/A,#N/A,#N/A, BMW 7 Series,0,0
英菲尼迪 Infiniti QX80 (QX56),ICE,SUV-E,1019, Infiniti QX80,0,0
#N/A,#N/A,#N/A,#N/A, Cadillac Lyriq,0,0
#N/A,#N/A,#N/A,#N/A, Mirage,0,0
#N/A,#N/A,#N/A,#N/A, Veloster,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC-Class,0,0
别克 Encore GX,ICE,SUV-C,6316, Encore GX,0,0
别克 Encore GX,ICE,SUV-C,6316, Encore,0,0
宝马 iX,EV,SUV-D,1415, iX,0,0
雷克萨斯 Lexus ES,ICE,Car-E,3611, Lexus ES,0,0
起亚 Sedona (Carnival),ICE,MPV,4431, Sedona ,0,0
#N/A,#N/A,#N/A,#N/A, Ariya,0,0
梅赛德斯-奔驰  E-Class,ICE,Car-E,1210, E-Class,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TLX,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Bolt EUV,0,0
#N/A,#N/A,#N/A,#N/A, Chevy Bolt,0,0
Porsche  Macan,ICE,SUV-D,2784, Macan,0,0
起亚 Rio,ICE,Car-B,2180, Rio,0,0
马自达 Axela (Mazda 3),ICE,Car-C,2745, Axela,0,0
#N/A,#N/A,#N/A,#N/A, Impala,0,0
#N/A,#N/A,#N/A,#N/A, Impala,0,0
Cadillac Cadillac XT4,ICE,SUV-C,1857, Cadillac XT4,0,0
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Nautilus,0,0
#N/A,#N/A,#N/A,#N/A, RAV-4,0,0
#N/A,#N/A,#N/A,#N/A, Ford GT,0,0
#N/A,#N/A,#N/A,#N/A, Ford F-Series,0,0
Ram  ProMaster,ICE,van,8131, ProMaster,0,0
#N/A,#N/A,#N/A,#N/A, Sprinter,0,0
起亚 SELTOS,ICE,SUV-C,5652, SELTOS,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE-Class,0,0
别克 Envision,ICE,SUV-C,4192, Envision,0,0
别克 Enclave,ICE,SUV-D,3547, Enclave,0,0
现代 IONIQ 5,EV,SUV-D,3136, IONIQ 5,0,0
吉普  Wagoneer (Jeep ),ICE,SUV-E,3015, Wagoneer,0,0
福特 Ford E-Series,ICE,van,2820, E-Series,0,0
现代 Venue,ICE,SUV-C,2695, Venue,0,0
讴歌 Integra ,ICE,Car-C,2608, Integra,0,0
宝马 BMW X7,ICE,SUV-E,2561, BMW X7,0,0
奥迪 Audi A5,ICE,Car-D,2283, Audi A5,0,0
宝马 BMW i4,EV,Car-E,2131, BMW i4,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Chevrolet Bolt,0,0
奥迪 Audi Q3,ICE,SUV-C,1928, Audi Q3,0,0
Cadillac Cadillac XT6,ICE,SUV-E,1867, Cadillac XT6,0,0
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842, GLS-Class,0,0
三菱 RVR (ASX/Outlander Sport),ICE,SUV-C,1756, RVR,0,0
梅赛德斯-奔驰  GLA-Class,ICE,SUV-C,1673, GLA-Class,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300 series,0,0
#N/A,#N/A,#N/A,#N/A, C40 Recharge,0,0
#N/A,#N/A,#N/A,#N/A, CX-90,0,0
福特 Transit Connect,ICE,van,1508, Transit Connect,0,0
Genesis Genesis GV80,ICE,SUV-E,1506, Genesis GV80,0,0
丰田 Corolla iM,ICE,Car-C,1493, Corolla iM,0,0
Genesis Genesis G70,ICE,Car-D,1353, Genesis G70,0,0
奥迪 Audi Q8,ICE,SUV-E,1282, Audi Q8,0,0
Ram  ProMaster City,ICE,van,1222, ProMaster City,0,0
Porsche  Porsche 911,ICE,Car-F,1191, Porsche 911,0,0
#N/A,#N/A,#N/A,#N/A, Grand Wagoneer,0,0
#N/A,#N/A,#N/A,#N/A, IONIQ 6,0,0
#N/A,#N/A,#N/A,#N/A, Dodge Hornet,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS SUV,0,0
雷克萨斯 Lexus UX,HV,SUV-C,1012, Lexus UX,0,0
#N/A,#N/A,#N/A,#N/A, 2 Series,0,0
#N/A,#N/A,#N/A,#N/A, Eclipse Cross,0,0
#N/A,#N/A,#N/A,#N/A, EQE SUV,0,0
#N/A,#N/A,#N/A,#N/A, Cadillac CT4,0,0
#N/A,#N/A,#N/A,#N/A, CLA-Class,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS,0,0
#N/A,#N/A,#N/A,#N/A, Genesis G80,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q8 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q4 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Stinger,0,0
#N/A,#N/A,#N/A,#N/A, Rivian EDV,0,0
#N/A,#N/A,#N/A,#N/A, bZ4X,0,0
#N/A,#N/A,#N/A,#N/A, Taycan,0,0
#N/A,#N/A,#N/A,#N/A, Lucid Air,0,0
#N/A,#N/A,#N/A,#N/A, Solterra,0,0
#N/A,#N/A,#N/A,#N/A, EQE,0,0
#N/A,#N/A,#N/A,#N/A, Range Rover Velar,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LX,0,0
#N/A,#N/A,#N/A,#N/A, MIRAI,0,0
#N/A,#N/A,#N/A,#N/A, BMW 8 Series,0,0
#N/A,#N/A,#N/A,#N/A, Boxster/Cayman,0,0
#N/A,#N/A,#N/A,#N/A, F-Pace,0,0
#N/A,#N/A,#N/A,#N/A, MINI Convertible,0,0
#N/A,#N/A,#N/A,#N/A, Grecale,0,0
#N/A,#N/A,#N/A,#N/A, VF8,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron GT,0,0
#N/A,#N/A,#N/A,#N/A, SL-Class,0,0
#N/A,#N/A,#N/A,#N/A, Discovery Sport,0,0
#N/A,#N/A,#N/A,#N/A, Range Rover Evoque,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo GIULIA,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RZ,0,0
#N/A,#N/A,#N/A,#N/A, EcoSport,0,0
#N/A,#N/A,#N/A,#N/A, Genesis GV60,0,0
#N/A,#N/A,#N/A,#N/A, MINI Clubman,0,0
#N/A,#N/A,#N/A,#N/A, Arteon,0,0
#N/A,#N/A,#N/A,#N/A, Audi A8,0,0
#N/A,#N/A,#N/A,#N/A, BMW XM,0,0
#N/A,#N/A,#N/A,#N/A, BMW i7,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LS,0,0
#N/A,#N/A,#N/A,#N/A, Nissan Z,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LC,0,0
#N/A,#N/A,#N/A,#N/A, Audi A7,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Genesis EQ900,0,0
丰田 Grand Highlander,HV,SUV-D,159, Grand Highlander,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti Q60,0,0
#N/A,#N/A,#N/A,#N/A, Tonale,0,0
#N/A,#N/A,#N/A,#N/A, Audi TT,0,0
#N/A,#N/A,#N/A,#N/A, Class 3,0,0
#N/A,#N/A,#N/A,#N/A, 500X,0,0
#N/A,#N/A,#N/A,#N/A, E-Pace,0,0
#N/A,#N/A,#N/A,#N/A, Audi R8,0,0
#N/A,#N/A,#N/A,#N/A, GT-R,0,0
#N/A,#N/A,#N/A,#N/A, Hummer Pickup,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Stradale,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Spider,0,0
#N/A,#N/A,#N/A,#N/A, I-Pace,0,0
#N/A,#N/A,#N/A,#N/A, MX-30,0,0
#N/A,#N/A,#N/A,#N/A, Nexo,0,0
#N/A,#N/A,#N/A,#N/A, Ferrari 296,0,0
#N/A,#N/A,#N/A,#N/A, A-Class,0,0
#N/A,#N/A,#N/A,#N/A, Zevo 600,0,0
#N/A,#N/A,#N/A,#N/A, Polestar 1,0,0
#N/A,#N/A,#N/A,#N/A, Lexus GS,0,0
#N/A,#N/A,#N/A,#N/A, Ram Cargo,0,0
#N/A,#N/A,#N/A,#N/A, Chrysler 200 Series,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo 4C,0,0
#N/A,#N/A,#N/A,#N/A, GS-6,0,0
#N/A,#N/A,#N/A,#N/A, Fiat 500L,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Electric,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Fuel Cell,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Plug In,0,0
#N/A,#N/A,#N/A,#N/A, Acura RLX,0,0
#N/A,#N/A,#N/A,#N/A, NSX,0,0
#N/A,#N/A,#N/A,#N/A, Revero,0,0
#N/A,#N/A,#N/A,#N/A, TRX400,0,0
#N/A,#N/A,#N/A,#N/A, TRX450,0,0
#N/A,#N/A,#N/A,#N/A, C10,0,0
#N/A,#N/A,#N/A,#N/A, 1994-2001 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, Cobalt,0,0
#N/A,#N/A,#N/A,#N/A, Caprice,0,0
#N/A,#N/A,#N/A,#N/A, C30,0,0
#N/A,#N/A,#N/A,#N/A, Cascadia,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, 3-Series,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, Cobalt,0,0
#N/A,#N/A,#N/A,#N/A, VHD,0,0
#N/A,#N/A,#N/A,#N/A, VNL,0,0
#N/A,#N/A,#N/A,#N/A, 5-Series,0,0
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
